"branch_name","order_hour","Weekday","Forecast PRE_FILTER (CUSTOM)"
"AD Dar Al Baida",11,"Fri",0.8010527064513835
"AD Dar Al Baida",11,"Sat",0
"AD Dar Al Baida",12,"Sun",0.8010527064513835
"AD Dar Al Baida",12,"Mon",0
"AD Dar Al Baida",12,"Tue",0.8010527064513835
"AD Dar Al Baida",12,"Wed",0.8010527064513835
"AD Dar Al Baida",12,"Thu",0
"AD Dar Al Baida",12,"Fri",0
"AD Dar Al Baida",12,"Sat",0
"AD Dar Al Baida",13,"Sun",0.8010527064513835
"AD Dar Al Baida",13,"Mon",1.602105412902767
"AD Dar Al Baida",13,"Tue",0
"AD Dar Al Baida",13,"Wed",0.8010527064513835
"AD Dar Al Baida",13,"Thu",1.602105412902767
"AD Dar Al Baida",13,"Fri",0.8010527064513835
"AD Dar Al Baida",13,"Sat",0
"AD Dar Al Baida",14,"Sun",0
"AD Dar Al Baida",14,"Mon",0
"AD Dar Al Baida",14,"Tue",0
"AD Dar Al Baida",14,"Wed",0
"AD Dar Al Baida",14,"Thu",0
"AD Dar Al Baida",14,"Fri",0.8010527064513835
"AD Dar Al Baida",14,"Sat",0
"AD Dar Al Baida",15,"Sun",0
"AD Dar Al Baida",15,"Mon",0
"AD Dar Al Baida",15,"Tue",0
"AD Dar Al Baida",15,"Wed",0
"AD Dar Al Baida",15,"Thu",0
"AD Dar Al Baida",15,"Fri",0
"AD Dar Al Baida",15,"Sat",0.8010527064513835
"AD Dar Al Baida",16,"Sun",0.8010527064513835
"AD Dar Al Baida",16,"Mon",0
"AD Dar Al Baida",16,"Tue",0
"AD Dar Al Baida",16,"Wed",0
"AD Dar Al Baida",16,"Thu",0
"AD Dar Al Baida",16,"Fri",0
"AD Dar Al Baida",16,"Sat",0
"AD Dar Al Baida",17,"Sun",0.8010527064513835
"AD Dar Al Baida",17,"Mon",0
"AD Dar Al Baida",17,"Tue",0
"AD Dar Al Baida",17,"Wed",0
"AD Dar Al Baida",17,"Thu",0.8010527064513835
"AD Dar Al Baida",17,"Fri",0
"AD Dar Al Baida",17,"Sat",3.204210825805534
"AD Dar Al Baida",18,"Sun",1.602105412902767
"AD Dar Al Baida",18,"Mon",0
"AD Dar Al Baida",18,"Tue",2.4031581193541505
"AD Dar Al Baida",18,"Wed",2.4031581193541505
"AD Dar Al Baida",18,"Thu",0.8010527064513835
"AD Dar Al Baida",18,"Fri",0.8010527064513835
"AD Dar Al Baida",18,"Sat",0
"AD Dar Al Baida",19,"Sun",0.8010527064513835
"AD Dar Al Baida",19,"Mon",0.8010527064513835
"AD Dar Al Baida",19,"Tue",2.4031581193541505
"AD Dar Al Baida",19,"Wed",0.8010527064513835
"AD Dar Al Baida",19,"Thu",0.8010527064513835
"AD Dar Al Baida",19,"Fri",0.8010527064513835
"AD Dar Al Baida",19,"Sat",0.8010527064513835
"AD Dar Al Baida",20,"Sun",0.8010527064513835
"AD Dar Al Baida",20,"Mon",0
"AD Dar Al Baida",20,"Tue",2.4031581193541505
"AD Dar Al Baida",20,"Wed",2.4031581193541505
"AD Dar Al Baida",20,"Thu",2.4031581193541505
"AD Dar Al Baida",20,"Fri",2.4031581193541505
"AD Dar Al Baida",20,"Sat",4.005263532256917
"AD Dar Al Baida",21,"Sun",0.8010527064513835
"AD Dar Al Baida",21,"Mon",0.8010527064513835
"AD Dar Al Baida",21,"Tue",0.8010527064513835
"AD Dar Al Baida",21,"Wed",0.8010527064513835
"AD Dar Al Baida",21,"Thu",2.4031581193541505
"AD Dar Al Baida",21,"Fri",0.8010527064513835
"AD Dar Al Baida",21,"Sat",2.4031581193541505
"AD Dar Al Baida",22,"Sun",1.602105412902767
"AD Dar Al Baida",22,"Mon",0
"AD Dar Al Baida",22,"Tue",0
"AD Dar Al Baida",22,"Wed",0.8010527064513835
"AD Dar Al Baida",22,"Thu",1.602105412902767
"AD Dar Al Baida",22,"Fri",4.005263532256917
"AD Dar Al Baida",22,"Sat",0
"AD Dar Al Baida",23,"Sun",0
"AD Dar Al Baida",23,"Mon",0
"AD Dar Al Baida",23,"Tue",0
"AD Dar Al Baida",23,"Wed",0.8010527064513835
"AD Dar Al Baida",23,"Thu",1.602105412902767
"AD Dar Al Baida",23,"Fri",0.8010527064513835
"AD Dar Al Baida",23,"Sat",0
"AR Rimal",0,"Sun",0
"AR Rimal",0,"Mon",0.8010527064513835
"AR Rimal",0,"Tue",1.602105412902767
"AR Rimal",0,"Wed",1.602105412902767
"AR Rimal",0,"Thu",3.204210825805534
"AR Rimal",0,"Fri",0.8010527064513835
"AR Rimal",0,"Sat",0.8010527064513835
"AR Rimal",1,"Sun",0
"AR Rimal",1,"Mon",0
"AR Rimal",1,"Tue",0
"AR Rimal",1,"Wed",0
"AR Rimal",1,"Thu",1.602105412902767
"AR Rimal",1,"Fri",1.602105412902767
"AR Rimal",1,"Sat",0
"AR Rimal",2,"Sun",0
"AR Rimal",2,"Mon",0
"AR Rimal",2,"Tue",0
"AR Rimal",2,"Wed",0
"AR Rimal",2,"Thu",0
"AR Rimal",2,"Fri",1.602105412902767
"AR Rimal",2,"Sat",0
"AR Rimal",3,"Sun",0
"AR Rimal",3,"Mon",0
"AR Rimal",3,"Tue",0
"AR Rimal",3,"Wed",0
"AR Rimal",3,"Thu",0
"AR Rimal",3,"Fri",0
"AR Rimal",3,"Sat",0
"AR Rimal",4,"Sun",0
"AR Rimal",4,"Mon",0
"AR Rimal",4,"Tue",0
"AR Rimal",4,"Wed",0
"AR Rimal",4,"Thu",0
"AR Rimal",4,"Fri",0
"AR Rimal",4,"Sat",0
"AR Rimal",5,"Sun",0
"AR Rimal",5,"Mon",0
"AR Rimal",5,"Tue",0
"AR Rimal",5,"Wed",0
"AR Rimal",5,"Thu",0
"AR Rimal",5,"Fri",0
"AR Rimal",5,"Sat",0
"AR Rimal",6,"Sun",0
"AR Rimal",6,"Mon",0
"AR Rimal",6,"Tue",0
"AR Rimal",6,"Wed",0
"AR Rimal",6,"Thu",0
"AR Rimal",6,"Fri",0
"AR Rimal",6,"Sat",0
"AR Rimal",7,"Sun",0
"AR Rimal",7,"Mon",0
"AR Rimal",7,"Tue",0
"AR Rimal",7,"Wed",0
"AR Rimal",7,"Thu",0
"AR Rimal",7,"Fri",0
"AR Rimal",7,"Sat",0
"AR Rimal",8,"Sun",0
"AR Rimal",8,"Mon",0
"AR Rimal",8,"Tue",0
"AR Rimal",8,"Wed",0
"AR Rimal",8,"Thu",0.8010527064513835
"AR Rimal",8,"Fri",0
"AR Rimal",8,"Sat",0
"AR Rimal",9,"Sun",0
"AR Rimal",9,"Mon",0
"AR Rimal",9,"Tue",0
"AR Rimal",9,"Wed",0
"AR Rimal",9,"Thu",0.8010527064513835
"AR Rimal",9,"Fri",0
"AR Rimal",9,"Sat",0
"AR Rimal",10,"Sun",0
"AR Rimal",10,"Mon",0
"AR Rimal",10,"Tue",0
"AR Rimal",10,"Wed",0
"AR Rimal",10,"Thu",0
"AR Rimal",10,"Fri",0.8010527064513835
"AR Rimal",10,"Sat",0
"AR Rimal",11,"Sun",0
"AR Rimal",11,"Mon",0
"AR Rimal",11,"Tue",0
"AR Rimal",11,"Wed",0.8010527064513835
"AR Rimal",11,"Thu",0.8010527064513835
"AR Rimal",11,"Fri",0
"AR Rimal",11,"Sat",0
"AR Rimal",12,"Sun",0
"AR Rimal",12,"Mon",0.8010527064513835
"AR Rimal",12,"Tue",0
"AR Rimal",12,"Wed",0
"AR Rimal",12,"Thu",1.602105412902767
"AR Rimal",12,"Fri",0
"AR Rimal",12,"Sat",1.602105412902767
"AR Rimal",13,"Sun",0
"AR Rimal",13,"Mon",0.8010527064513835
"AR Rimal",13,"Tue",0.8010527064513835
"AR Rimal",13,"Wed",0
"AR Rimal",13,"Thu",1.602105412902767
"AR Rimal",13,"Fri",1.602105412902767
"AR Rimal",13,"Sat",0.8010527064513835
"AR Rimal",14,"Sun",0.8010527064513835
"AR Rimal",14,"Mon",2.4031581193541505
"AR Rimal",14,"Tue",0.8010527064513835
"AR Rimal",14,"Wed",3.204210825805534
"AR Rimal",14,"Thu",3.204210825805534
"AR Rimal",14,"Fri",1.602105412902767
"AR Rimal",14,"Sat",0
"AR Rimal",15,"Sun",0.8010527064513835
"AR Rimal",15,"Mon",3.204210825805534
"AR Rimal",15,"Tue",0
"AR Rimal",15,"Wed",0
"AR Rimal",15,"Thu",0
"AR Rimal",15,"Fri",2.4031581193541505
"AR Rimal",15,"Sat",1.602105412902767
"AR Rimal",16,"Sun",2.4031581193541505
"AR Rimal",16,"Mon",3.204210825805534
"AR Rimal",16,"Tue",0.8010527064513835
"AR Rimal",16,"Wed",0.8010527064513835
"AR Rimal",16,"Thu",2.4031581193541505
"AR Rimal",16,"Fri",1.602105412902767
"AR Rimal",16,"Sat",2.4031581193541505
"AR Rimal",17,"Sun",0
"AR Rimal",17,"Mon",1.602105412902767
"AR Rimal",17,"Tue",0.8010527064513835
"AR Rimal",17,"Wed",0
"AR Rimal",17,"Thu",1.602105412902767
"AR Rimal",17,"Fri",0.8010527064513835
"AR Rimal",17,"Sat",0.8010527064513835
"AR Rimal",18,"Sun",2.4031581193541505
"AR Rimal",18,"Mon",4.806316238708301
"AR Rimal",18,"Tue",3.204210825805534
"AR Rimal",18,"Wed",1.602105412902767
"AR Rimal",18,"Thu",0.8010527064513835
"AR Rimal",18,"Fri",3.204210825805534
"AR Rimal",18,"Sat",4.806316238708301
"AR Rimal",19,"Sun",0
"AR Rimal",19,"Mon",8.010527064513834
"AR Rimal",19,"Tue",1.602105412902767
"AR Rimal",19,"Wed",4.005263532256917
"AR Rimal",19,"Thu",2.4031581193541505
"AR Rimal",19,"Fri",2.4031581193541505
"AR Rimal",19,"Sat",0
"AR Rimal",20,"Sun",3.204210825805534
"AR Rimal",20,"Mon",5.607368945159684
"AR Rimal",20,"Tue",2.4031581193541505
"AR Rimal",20,"Wed",0.8010527064513835
"AR Rimal",20,"Thu",3.204210825805534
"AR Rimal",20,"Fri",3.204210825805534
"AR Rimal",20,"Sat",3.204210825805534
"AR Rimal",21,"Sun",1.602105412902767
"AR Rimal",21,"Mon",0
"AR Rimal",21,"Tue",4.005263532256917
"AR Rimal",21,"Wed",4.005263532256917
"AR Rimal",21,"Thu",7.209474358062451
"AR Rimal",21,"Fri",7.209474358062451
"AR Rimal",21,"Sat",7.209474358062451
"AR Rimal",22,"Sun",2.4031581193541505
"AR Rimal",22,"Mon",2.4031581193541505
"AR Rimal",22,"Tue",1.602105412902767
"AR Rimal",22,"Wed",1.602105412902767
"AR Rimal",22,"Thu",1.602105412902767
"AR Rimal",22,"Fri",2.4031581193541505
"AR Rimal",22,"Sat",4.005263532256917
"AR Rimal",23,"Sun",0.8010527064513835
"AR Rimal",23,"Mon",4.806316238708301
"AR Rimal",23,"Tue",5.607368945159684
"AR Rimal",23,"Wed",1.602105412902767
"AR Rimal",23,"Thu",3.204210825805534
"AR Rimal",23,"Fri",1.602105412902767
"AR Rimal",23,"Sat",1.602105412902767
"AR Rimal 2",0,"Sun",0.8010527064513835
"AR Rimal 2",0,"Mon",0
"AR Rimal 2",0,"Tue",1.602105412902767
"AR Rimal 2",0,"Wed",2.4031581193541505
"AR Rimal 2",0,"Thu",0.8010527064513835
"AR Rimal 2",0,"Fri",0.8010527064513835
"AR Rimal 2",0,"Sat",2.4031581193541505
"AR Rimal 2",1,"Sun",0
"AR Rimal 2",1,"Mon",1.602105412902767
"AR Rimal 2",1,"Tue",0.8010527064513835
"AR Rimal 2",1,"Wed",0
"AR Rimal 2",1,"Thu",0
"AR Rimal 2",1,"Fri",0.8010527064513835
"AR Rimal 2",1,"Sat",0
"AR Rimal 2",2,"Sun",0
"AR Rimal 2",2,"Mon",0
"AR Rimal 2",2,"Tue",0
"AR Rimal 2",2,"Wed",0
"AR Rimal 2",2,"Thu",0
"AR Rimal 2",2,"Fri",0.8010527064513835
"AR Rimal 2",2,"Sat",0
"AR Rimal 2",3,"Sun",0.8010527064513835
"AR Rimal 2",3,"Mon",0
"AR Rimal 2",3,"Tue",0
"AR Rimal 2",3,"Wed",0
"AR Rimal 2",3,"Thu",0.8010527064513835
"AR Rimal 2",3,"Fri",0
"AR Rimal 2",3,"Sat",0
"AR Rimal 2",4,"Sun",0
"AR Rimal 2",4,"Mon",0
"AR Rimal 2",4,"Tue",0
"AR Rimal 2",4,"Wed",0
"AR Rimal 2",4,"Thu",0
"AR Rimal 2",4,"Fri",0
"AR Rimal 2",4,"Sat",0
"AR Rimal 2",5,"Sun",0
"AR Rimal 2",5,"Mon",0
"AR Rimal 2",5,"Tue",0
"AR Rimal 2",5,"Wed",0
"AR Rimal 2",5,"Thu",0
"AR Rimal 2",5,"Fri",0
"AR Rimal 2",5,"Sat",0
"AR Rimal 2",6,"Sun",0
"AR Rimal 2",6,"Mon",0
"AR Rimal 2",6,"Tue",0
"AR Rimal 2",6,"Wed",0
"AR Rimal 2",6,"Thu",0
"AR Rimal 2",6,"Fri",0
"AR Rimal 2",6,"Sat",0
"AR Rimal 2",7,"Sun",0
"AR Rimal 2",7,"Mon",0
"AR Rimal 2",7,"Tue",0
"AR Rimal 2",7,"Wed",0
"AR Rimal 2",7,"Thu",0
"AR Rimal 2",7,"Fri",0
"AR Rimal 2",7,"Sat",0
"AR Rimal 2",8,"Sun",0
"AR Rimal 2",8,"Mon",0
"AR Rimal 2",8,"Tue",0
"AR Rimal 2",8,"Wed",0
"AR Rimal 2",8,"Thu",0
"AR Rimal 2",8,"Fri",0
"AR Rimal 2",8,"Sat",0
"AR Rimal 2",9,"Sun",0
"AR Rimal 2",9,"Mon",0
"AR Rimal 2",9,"Tue",0
"AR Rimal 2",9,"Wed",0
"AR Rimal 2",9,"Thu",0.8010527064513835
"AR Rimal 2",9,"Fri",0
"AR Rimal 2",9,"Sat",0
"AR Rimal 2",10,"Sun",0
"AR Rimal 2",10,"Mon",0
"AR Rimal 2",10,"Tue",0
"AR Rimal 2",10,"Wed",0
"AR Rimal 2",10,"Thu",0
"AR Rimal 2",10,"Fri",0.8010527064513835
"AR Rimal 2",10,"Sat",0
"AR Rimal 2",11,"Sun",0
"AR Rimal 2",11,"Mon",0
"AR Rimal 2",11,"Tue",0
"AR Rimal 2",11,"Wed",0
"AR Rimal 2",11,"Thu",0
"AR Rimal 2",11,"Fri",0
"AR Rimal 2",11,"Sat",0
"AR Rimal 2",12,"Sun",0
"AR Rimal 2",12,"Mon",0.8010527064513835
"AR Rimal 2",12,"Tue",0
"AR Rimal 2",12,"Wed",0.8010527064513835
"AR Rimal 2",12,"Thu",1.602105412902767
"AR Rimal 2",12,"Fri",0.8010527064513835
"AR Rimal 2",12,"Sat",0
"AR Rimal 2",13,"Sun",1.602105412902767
"AR Rimal 2",13,"Mon",1.602105412902767
"AR Rimal 2",13,"Tue",0
"AR Rimal 2",13,"Wed",1.602105412902767
"AR Rimal 2",13,"Thu",0.8010527064513835
"AR Rimal 2",13,"Fri",0
"AR Rimal 2",13,"Sat",1.602105412902767
"AR Rimal 2",14,"Sun",0.8010527064513835
"AR Rimal 2",14,"Mon",0
"AR Rimal 2",14,"Tue",0
"AR Rimal 2",14,"Wed",0.8010527064513835
"AR Rimal 2",14,"Thu",1.602105412902767
"AR Rimal 2",14,"Fri",0.8010527064513835
"AR Rimal 2",14,"Sat",0.8010527064513835
"AR Rimal 2",15,"Sun",0
"AR Rimal 2",15,"Mon",0.8010527064513835
"AR Rimal 2",15,"Tue",1.602105412902767
"AR Rimal 2",15,"Wed",0.8010527064513835
"AR Rimal 2",15,"Thu",0.8010527064513835
"AR Rimal 2",15,"Fri",0
"AR Rimal 2",15,"Sat",1.602105412902767
"AR Rimal 2",16,"Sun",0.8010527064513835
"AR Rimal 2",16,"Mon",0
"AR Rimal 2",16,"Tue",0.8010527064513835
"AR Rimal 2",16,"Wed",0
"AR Rimal 2",16,"Thu",0.8010527064513835
"AR Rimal 2",16,"Fri",0
"AR Rimal 2",16,"Sat",0
"AR Rimal 2",17,"Sun",0
"AR Rimal 2",17,"Mon",0
"AR Rimal 2",17,"Tue",0.8010527064513835
"AR Rimal 2",17,"Wed",0.8010527064513835
"AR Rimal 2",17,"Thu",0.8010527064513835
"AR Rimal 2",17,"Fri",0
"AR Rimal 2",17,"Sat",0.8010527064513835
"AR Rimal 2",18,"Sun",1.602105412902767
"AR Rimal 2",18,"Mon",2.4031581193541505
"AR Rimal 2",18,"Tue",1.602105412902767
"AR Rimal 2",18,"Wed",0.8010527064513835
"AR Rimal 2",18,"Thu",0
"AR Rimal 2",18,"Fri",0.8010527064513835
"AR Rimal 2",18,"Sat",0.8010527064513835
"AR Rimal 2",19,"Sun",0
"AR Rimal 2",19,"Mon",1.602105412902767
"AR Rimal 2",19,"Tue",0
"AR Rimal 2",19,"Wed",1.602105412902767
"AR Rimal 2",19,"Thu",1.602105412902767
"AR Rimal 2",19,"Fri",0
"AR Rimal 2",19,"Sat",1.602105412902767
"AR Rimal 2",20,"Sun",0.8010527064513835
"AR Rimal 2",20,"Mon",0.8010527064513835
"AR Rimal 2",20,"Tue",0
"AR Rimal 2",20,"Wed",0
"AR Rimal 2",20,"Thu",1.602105412902767
"AR Rimal 2",20,"Fri",0
"AR Rimal 2",20,"Sat",0.8010527064513835
"AR Rimal 2",21,"Sun",1.602105412902767
"AR Rimal 2",21,"Mon",0.8010527064513835
"AR Rimal 2",21,"Tue",0.8010527064513835
"AR Rimal 2",21,"Wed",1.602105412902767
"AR Rimal 2",21,"Thu",2.4031581193541505
"AR Rimal 2",21,"Fri",4.005263532256917
"AR Rimal 2",21,"Sat",0
"AR Rimal 2",22,"Sun",1.602105412902767
"AR Rimal 2",22,"Mon",0.8010527064513835
"AR Rimal 2",22,"Tue",0.8010527064513835
"AR Rimal 2",22,"Wed",1.602105412902767
"AR Rimal 2",22,"Thu",5.607368945159684
"AR Rimal 2",22,"Fri",1.602105412902767
"AR Rimal 2",22,"Sat",1.602105412902767
"AR Rimal 2",23,"Sun",0
"AR Rimal 2",23,"Mon",0.8010527064513835
"AR Rimal 2",23,"Tue",1.602105412902767
"AR Rimal 2",23,"Wed",0.8010527064513835
"AR Rimal 2",23,"Thu",2.4031581193541505
"AR Rimal 2",23,"Fri",2.4031581193541505
"AR Rimal 2",23,"Sat",0.8010527064513835
"Aarid",0,"Sun",
"Aarid",0,"Mon",
"Aarid",0,"Tue",
"Aarid",0,"Wed",
"Aarid",0,"Thu",
"Aarid",0,"Fri",0
"Aarid",0,"Sat",
"Aarid",1,"Sun",
"Aarid",1,"Mon",
"Aarid",1,"Tue",
"Aarid",1,"Wed",
"Aarid",1,"Thu",
"Aarid",1,"Fri",0
"Aarid",1,"Sat",
"Aarid",2,"Sun",
"Aarid",2,"Mon",
"Aarid",2,"Tue",
"Aarid",2,"Wed",
"Aarid",2,"Thu",
"Aarid",2,"Fri",0
"Aarid",2,"Sat",
"Aarid",3,"Sun",
"Aarid",3,"Mon",
"Aarid",3,"Tue",
"Aarid",3,"Wed",
"Aarid",3,"Thu",
"Aarid",3,"Fri",0
"Aarid",3,"Sat",
"Aarid",4,"Sun",
"Aarid",4,"Mon",
"Aarid",4,"Tue",
"Aarid",4,"Wed",
"Aarid",4,"Thu",
"Aarid",4,"Fri",0
"Aarid",4,"Sat",
"Aarid",5,"Sun",
"Aarid",5,"Mon",
"Aarid",5,"Tue",
"Aarid",5,"Wed",
"Aarid",5,"Thu",
"Aarid",5,"Fri",0
"Aarid",5,"Sat",
"Aarid",6,"Sun",
"Aarid",6,"Mon",
"Aarid",6,"Tue",
"Aarid",6,"Wed",
"Aarid",6,"Thu",
"Aarid",6,"Fri",0
"Aarid",6,"Sat",
"Aarid",7,"Sun",
"Aarid",7,"Mon",
"Aarid",7,"Tue",
"Aarid",7,"Wed",
"Aarid",7,"Thu",
"Aarid",7,"Fri",0
"Aarid",7,"Sat",
"Aarid",8,"Sun",
"Aarid",8,"Mon",
"Aarid",8,"Tue",
"Aarid",8,"Wed",
"Aarid",8,"Thu",
"Aarid",8,"Fri",0
"Aarid",8,"Sat",
"Aarid",9,"Sun",
"Aarid",9,"Mon",
"Aarid",9,"Tue",
"Aarid",9,"Wed",
"Aarid",9,"Thu",
"Aarid",9,"Fri",0
"Aarid",9,"Sat",
"Aarid",10,"Sun",
"Aarid",10,"Mon",
"Aarid",10,"Tue",
"Aarid",10,"Wed",
"Aarid",10,"Thu",
"Aarid",10,"Fri",0
"Aarid",10,"Sat",
"Aarid",11,"Sun",
"Aarid",11,"Mon",
"Aarid",11,"Tue",
"Aarid",11,"Wed",
"Aarid",11,"Thu",
"Aarid",11,"Fri",0
"Aarid",11,"Sat",
"Aarid",12,"Sun",
"Aarid",12,"Mon",
"Aarid",12,"Tue",
"Aarid",12,"Wed",
"Aarid",12,"Thu",
"Aarid",12,"Fri",0
"Aarid",12,"Sat",
"Aarid",13,"Sun",
"Aarid",13,"Mon",
"Aarid",13,"Tue",
"Aarid",13,"Wed",
"Aarid",13,"Thu",
"Aarid",13,"Fri",0
"Aarid",13,"Sat",
"Aarid",14,"Sun",
"Aarid",14,"Mon",
"Aarid",14,"Tue",
"Aarid",14,"Wed",
"Aarid",14,"Thu",
"Aarid",14,"Fri",0
"Aarid",14,"Sat",
"Aarid",15,"Sun",
"Aarid",15,"Mon",
"Aarid",15,"Tue",
"Aarid",15,"Wed",
"Aarid",15,"Thu",
"Aarid",15,"Fri",0
"Aarid",15,"Sat",
"Aarid",16,"Sun",
"Aarid",16,"Mon",
"Aarid",16,"Tue",
"Aarid",16,"Wed",
"Aarid",16,"Thu",
"Aarid",16,"Fri",0
"Aarid",16,"Sat",
"Aarid",17,"Sun",
"Aarid",17,"Mon",
"Aarid",17,"Tue",
"Aarid",17,"Wed",
"Aarid",17,"Thu",
"Aarid",17,"Fri",0
"Aarid",17,"Sat",
"Aarid",18,"Sun",
"Aarid",18,"Mon",
"Aarid",18,"Tue",
"Aarid",18,"Wed",
"Aarid",18,"Thu",
"Aarid",18,"Fri",0
"Aarid",18,"Sat",
"Aarid",19,"Sun",
"Aarid",19,"Mon",
"Aarid",19,"Tue",
"Aarid",19,"Wed",
"Aarid",19,"Thu",
"Aarid",19,"Fri",0
"Aarid",19,"Sat",
"Aarid",20,"Sun",
"Aarid",20,"Mon",
"Aarid",20,"Tue",
"Aarid",20,"Wed",
"Aarid",20,"Thu",
"Aarid",20,"Fri",0
"Aarid",20,"Sat",
"Aarid",21,"Sun",
"Aarid",21,"Mon",
"Aarid",21,"Tue",
"Aarid",21,"Wed",
"Aarid",21,"Thu",
"Aarid",21,"Fri",0
"Aarid",21,"Sat",
"Aarid",22,"Sun",
"Aarid",22,"Mon",
"Aarid",22,"Tue",
"Aarid",22,"Wed",
"Aarid",22,"Thu",
"Aarid",22,"Fri",0.8010527064513835
"Aarid",22,"Sat",
"Aarid",23,"Sun",
"Aarid",23,"Mon",
"Aarid",23,"Tue",
"Aarid",23,"Wed",
"Aarid",23,"Thu",
"Aarid",23,"Fri",0
"Aarid",23,"Sat",
"Aarid 2",0,"Sun",0
"Aarid 2",0,"Mon",2.4031581193541505
"Aarid 2",0,"Tue",1.602105412902767
"Aarid 2",0,"Wed",1.602105412902767
"Aarid 2",0,"Thu",1.602105412902767
"Aarid 2",0,"Fri",0.8010527064513835
"Aarid 2",0,"Sat",2.4031581193541505
"Aarid 2",1,"Sun",0
"Aarid 2",1,"Mon",0.8010527064513835
"Aarid 2",1,"Tue",0
"Aarid 2",1,"Wed",0
"Aarid 2",1,"Thu",3.204210825805534
"Aarid 2",1,"Fri",0
"Aarid 2",1,"Sat",0
"Aarid 2",2,"Sun",0
"Aarid 2",2,"Mon",0
"Aarid 2",2,"Tue",0
"Aarid 2",2,"Wed",0
"Aarid 2",2,"Thu",0
"Aarid 2",2,"Fri",0.8010527064513835
"Aarid 2",2,"Sat",0
"Aarid 2",3,"Sun",0
"Aarid 2",3,"Mon",0
"Aarid 2",3,"Tue",0
"Aarid 2",3,"Wed",0
"Aarid 2",3,"Thu",0
"Aarid 2",3,"Fri",0
"Aarid 2",3,"Sat",0
"Aarid 2",4,"Sun",0
"Aarid 2",4,"Mon",0
"Aarid 2",4,"Tue",0
